2017-01-16 08:28:18,430 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "117" (QoS: 2, retained: false)
2017-01-16 08:28:18,430 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/alpha": "190" (QoS: 2, retained: false)
2017-01-16 08:28:18,430 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "121" (QoS: 2, retained: false)
2017-01-16 08:28:18,430 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/alpha": "190" (QoS: 2, retained: false)
2017-01-16 08:28:18,430 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "118" (QoS: 2, retained: false)
2017-01-16 08:28:18,434 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/alpha": "186" (QoS: 2, retained: false)
2017-01-16 08:28:18,442 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "126" (QoS: 2, retained: false)
2017-01-16 08:28:18,442 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "115" (QoS: 2, retained: false)
2017-01-16 08:28:18,446 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "132" (QoS: 2, retained: false)
2017-01-16 08:28:18,446 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "115" (QoS: 2, retained: false)
2017-01-16 08:28:18,450 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/alpha": "185" (QoS: 2, retained: false)
2017-01-16 08:28:18,450 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/alpha": "194" (QoS: 2, retained: false)
2017-01-16 08:28:18,450 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/alpha": "192" (QoS: 2, retained: false)
2017-01-16 08:28:18,450 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/alpha": "187" (QoS: 2, retained: false)
2017-01-16 08:28:18,450 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/alpha": "184" (QoS: 2, retained: false)
2017-01-16 08:28:18,450 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "121" (QoS: 2, retained: false)
2017-01-16 08:28:19,093 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/alpha": "183" (QoS: 2, retained: false)
2017-01-16 08:28:19,093 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "124" (QoS: 2, retained: false)
2017-01-16 08:28:19,093 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/alpha": "182" (QoS: 2, retained: false)
2017-01-16 08:28:19,093 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "127" (QoS: 2, retained: false)
2017-01-16 08:28:19,109 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/alpha": "178" (QoS: 2, retained: false)
2017-01-16 08:28:19,109 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "131" (QoS: 2, retained: false)
2017-01-16 08:28:19,109 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/alpha": "177" (QoS: 2, retained: false)
2017-01-16 08:28:19,109 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "132" (QoS: 2, retained: false)
2017-01-16 08:28:19,109 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/alpha": "176" (QoS: 2, retained: false)
2017-01-16 08:28:19,109 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "132" (QoS: 2, retained: false)
2017-01-16 08:28:19,109 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/alpha": "176" (QoS: 2, retained: false)
2017-01-16 08:28:19,109 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "130" (QoS: 2, retained: false)
2017-01-16 08:28:19,124 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/alpha": "176" (QoS: 2, retained: false)
2017-01-16 08:28:19,124 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "123" (QoS: 2, retained: false)
2017-01-16 08:28:19,124 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/alpha": "176" (QoS: 2, retained: false)
2017-01-16 08:28:19,124 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "121" (QoS: 2, retained: false)
2017-01-16 08:28:19,124 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/alpha": "176" (QoS: 2, retained: false)
2017-01-16 08:28:19,140 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "117" (QoS: 2, retained: false)
2017-01-16 08:28:19,140 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/alpha": "177" (QoS: 2, retained: false)
2017-01-16 08:28:19,140 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "113" (QoS: 2, retained: false)
